Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
AWS - Glacier,JBPAINFCL041,JBPAINFCL041\MSGBOX,defaultBackupSet,JBPAINFCL041/SIMPLE,#STP_DATACENTER_DB_01,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,JBPAINFCL041,JBPAINFCL041\MSGBOX,defaultBackupSet,JBPAINFCL041/SIMPLE,#_STP_GCP_SQL_DB,Primary,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPAINFCL040,JBPAINFCL040\TRACKING,defaultBackupSet,JBPAINFCL040/FULL,#STP_DATACENTER_DB_01,1.Primary,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,JBPAINFCL040,JBPAINFCL040\TRACKING,defaultBackupSet,JBPAINFCL040/FULL,#STP_DATACENTER_DB_01,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,JBPAINFCL040,JBPAINFCL040\TRACKING,defaultBackupSet,JBPAINFCL040/FULL,#_STP_GCP_SQL_DB,Primary,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPAINFCL040,JBPAINFCL040\TRACKING,defaultBackupSet,JBPAINFCL040/SIMPLE,#STP_DATACENTER_DB_01,1.Primary,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,JBPAINFCL040,JBPAINFCL040\TRACKING,defaultBackupSet,JBPAINFCL040/SIMPLE,#STP_DATACENTER_DB_01,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,JBPAINFCL040,JBPAINFCL040\TRACKING,defaultBackupSet,JBPAINFCL040/SIMPLE,#_STP_GCP_SQL_DB,Primary,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,CLHASQLSR007,CLHASQLSR007,defaultBackupSet,CLHASQLSR007/FULL,STP_AZU_HLM_CLPABKPSR006_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,CLHASQLSR007,CLHASQLSR007\SQL16DEV,defaultBackupSet,CLHASQLSR007/SQL16DE/FULL,STP_AZU_HLM_CLPABKPSR006_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,CLHASQLSR007,CLHASQLSR007,defaultBackupSet,CLHASQLSR007/SIMPLE,STP_AZU_HLM_CLPABKPSR006_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,CLHASQLSR007,CLHASQLSR007\SQL16DEV,defaultBackupSet,CLHASQLSR007/SQL16DE/SIMPLE,STP_AZU_HLM_CLPABKPSR006_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,CLHASQLSR007,CLHASQLSR007\SQL16BICORPMD(Analysis Services),defaultBackupSet,SQL16BICORPMD(Analysis Services),STP_AZU_HLM_CLPABKPSR006_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,CLHASQLSR007,CLHASQLSR007\SQL16BICORPTB(Analysis Services),defaultBackupSet,SQL16BICORPTB(Analysis Services),STP_AZU_HLM_CLPABKPSR006_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - DEV/QA,CLHASQLSR007,Azure Resource Manager,defaultBackupSet,HOMOLOGACAO-QA,STP_AZU_HLM_CLPABKPSR006_VM,Primary,0.192,0.0,0.204,0.204,0.018
DCCM - OnPremisses,lqpaxc01vm01,DefaultInstanceName,backup_1,FS-lqpaxc01vm01,#STP_DATACENTER_FS_02,1.Primary,0.138,0.0,0.004,0.004,0.003
AWS - Glacier,lqpaxc01vm01,DefaultInstanceName,backup_1,FS-lqpaxc01vm01,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,lqpaxc01vm01,DefaultInstanceName,backup_1,backup product and wallet,#STP_DATACENTER_FS_01,2.AWS,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,lqpaxc01vm01,DefaultInstanceName,backup_1,backup product and wallet,#STP_DATACENTER_FS_02,1.Primary,0.514,0.0,0.096,0.096,0.064
AWS - Glacier,lqpaxc01vm01,DefaultInstanceName,backup_1,backup product and wallet,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,lqpaxc01vm01,DefaultInstanceName,backup_1,backup jobs,#STP_DATACENTER_FS_02,1.Primary,0.169,0.0,0.0,0.0,0.0
